"PPN","physischePPN"
"PPN862768101","PPN862766443"
"PPN875987524","PPN381771458"
"PPN729569497","PPN729529045"
"PPN729539318","PPN729505162"
"PPN774617691","PPN359349625"
"PPN3346232182","PPN3343792403"
"PPN766852091","PPN279001126"
"PPN680157050","PPN566808374"
"PPN3306130486","PPN3304244417"
"PPN681064552","PPN680603638"
"PPN881402206","PPN362818290"
"PPN1738295893","PPN1738295788"
"PPN802518192","PPN800412273"
"PPN3306132489","PPN3306129801"
"PPN739999737","PPN739995898"
"PPN332326021X","PPN3323096053"
"PPN818346280","PPN81832712X"
"PPN3346158438","PPN334615842X"
"PPN660914298","PPN659446839"
"PPN3308100827","PPN3308099535"
"PPN859904571","PPN859765369"
"PPN172466574X","PPN1724665197"
"PPN3308096870","PPN3308093650"
"PPN638667232","PPN638667232a"
"PPN3343670057","PPN3341287124"
"PPN833254952","PPN748526285"
"PPN833663275","PPN833635840"
"PPN779268245","PPN559506422"
"PPN684535548","PPN368990788"
"PPN3371391000","PPN3371390888"
"PPN3346230600","PPN3343787906"
"PPN821786415","PPN748228217"
"PPN655726349","PPN655147500"
"PPN1029426252","PPN1028867204"
"PPN1006286268","PPN278730582"
"PPN880929774","PPN87790037X"
"PPN721441521","PPN450374173"
"PPN1010127179","PPN1010090518"
"PPN3303602611","PPN3303601496"
"PPN1737629488","PPN115189012X"
"PPN802501125","PPN801018684"
"PPN826325440","PPN142485926"
"PPN779349113","PPN136637574"
"PPN621243906","PPNx"
"PPN3348763177","PPN3348762677"
"PPN757231551","PPN361097107"
"PPN654780242","PPN65477983X"
"PPN335519848X","PPN3354953721"
"PPN844212008","PPN844124079"
"PPN826517803","PPN137336969"
"PPN3346230864","PPN3343788430"
"PPN770468217","PPN550414614"
"PPN627587453","PPNx"
"PPN872710572","PPN872705633"
"PPN68923550X","PPN689176317"
"PPN3343673234","PPN3343672955"
"PPN775923044","PPN747625352"
"PPN1733645128","PPN1130144844"
"PPN881874140","PPN881871338"
"PPN85564351X","PPN855638729"
"PPN863349811","PPN434559113"
"PPN3343669946","PPN3341287183"
"PPN1733671501","PPN1139934651"
"PPN626957567","PPN626957567a"
"PPN1672338603","PPN1672337623"
"PPN880800550","PPN877724644"
"PPN655639799","PPN654939020"
"PPN863232388","PPN863193110"
"PPN66353268X","PPN536742502"
"PPN82205440X","PPN185846327"
"PPN766687767","PPN280265042"
"PPN3346228940","PPN3306129593"
"PPN62122524X","PPNx"
"PPN796895031","PPN796578664"
"PPN843861657","PPN842174761"
"PPN3308100304","PPN3308098873"
"PPN334623052X","PPN3343787809"
"PPN3371339777","PPN3371333205"
"PPN101179750X","PPN1011616866"
"PPN3343673099","PPN3343672815"
"PPN741140233","PPN56909013X"
"PPN856575496","PPN368392600"
"PPN815879040","PPN620003618"
"PPN627510639","PPN627356729"
"PPN3308099012","PPN3304245154"
"PPN890241287","PPN880952342"
"PPN3346233294","PPN3343670731"
"PPN337138960X","PPN3371345823"
"PPN3303600112","PPN3303505756"
"PPN3346230910","PPN3343790087"
"PPN3346229084","PPN3342230568"
"PPN3303600414","PPN3303505446"
"PPN1749145774","PPN1749104733"
"PPN3308101610","PPN3304245340"
"PPN1045815845","PPN392043610"
"PPN746267185","PPN402869567"
"PPN3358708462","PPN3358708322"
"PPN797439099","PPN225033623"
"PPN889895864","PPN448437783"
"PPN627720692","PPN627720692a"
"PPN776705911","PPN568632273"
"PPN746053894","PPN025115340"
"PPN749387696","PPN347735010"
"PPN766628035","PPN279266588"
"PPN3303599998","PPN330350587X"
"PPN1700539167","PPN530736381"
"PPN3306131768","PPN3304247742"
"PPN751512273","PPN280202725"
"PPN1724713612","PPN172471306X"
"PPN1046846779","PPN1046554867"
"PPN79417924X","PPN792998812"
"PPN1748391461","PPN504717340"
"PPN1736624598","PPN143509400X"
"PPN1751340570","PPN175115761X"
"PPN3371340546","PPN3371333973"
"PPN778504042","PPN778481271"
"PPN3371339173","PPN3371332608"
"PPN3303598991","PPN3303506906"
"PPN806809825","PPN805608370"
"PPN802533590","PPN800476417"
"PPN820513148","PPN137239483"
"PPN3306130699","PPN3305212268"
"PPN774642092","PPN774618744"
"PPN1666491926","PPN631136312"
"PPN1737454092","PPN1737453746"
"PPN629822514","PPN629637733"
