PPN; SetSpecification; Title; Creator; Subject; Publisher; Date; Identifier
1845117549; kolonialismus; 1885; none; Kolonialismus; Gressner & Schramm; 1885; https://www.digishelf.de/piresolver?id=1845117549
1845118685; kolonialismus; Dritter Band; none; Kolonialismus; Gressner & Schramm; 1885; https://www.digishelf.de/piresolver?id=1845118685
1844795977; kolonialismus; Kritische Rundschau \xef\xbf\xbdber \xef\xbf\xbdltere deutsche Ansiedlungen in den Tropen zur Feststellung der Bedeutung von Togo, Kamerun und Deutsch-Ostafrika f\xef\xbf\xbdr die deutsche Auswanderung; none; Kolonialismus; J. W. Heeg; 1905; https://www.digishelf.de/piresolver?id=1844795977
1844796612; kolonialismus; Deutsche M\xef\xbf\xbdnner in Afrika; Weidmann, Conrad; Kolonialismus; N\xef\xbf\xbdhring; 1894; https://www.digishelf.de/piresolver?id=1844796612
1844803066; kolonialismus; Gustav Nachtigal; none; Kolonialismus; Schall; 1914; https://www.digishelf.de/piresolver?id=1844803066
1844804054; kolonialismus; Ein Freund Afrikas; Steiner, Paul; Kolonialismus; Basler Missionsbuchh.; 1917; https://www.digishelf.de/piresolver?id=1844804054
1844804445; kolonialismus; Abri\xef\xbf\xbd der Geschichte Afrikas; Wirth, Albrecht; Kolonialismus; Georgi; 1900; https://www.digishelf.de/piresolver?id=1844804445
1844803481; kolonialismus; Emin Pascha; Schweitzer, Georg; Kolonialismus; Walther; 1898; https://www.digishelf.de/piresolver?id=1844803481
1844804739; kolonialismus; Im Reiche des Meergottes; Ziegfeld, Arnold Hillen; Kolonialismus; Union Dt. Verl.-Anst.; 1923; https://www.digishelf.de/piresolver?id=1844804739
1845122046; kolonialismus; 1415 - 1870; Darmstaedter, Paul; Kolonialismus; G\xef\xbf\xbdschen; 1913; https://www.digishelf.de/piresolver?id=1845122046
1844805379; kolonialismus; Schilderungen der Suaheli von Expeditionen v. Wissmanns, Dr. Bumillers, Graf v. G\xef\xbf\xbdtzens, und anderer; none; Kolonialismus; Vandenhoeck & Ruprecht; 1901; https://www.digishelf.de/piresolver?id=1844805379
1844805646; kolonialismus; Die Dichtung der Afrikaner; Meinhof, Carl; Kolonialismus; Berliner Evang. Missionsges.; 1911; https://www.digishelf.de/piresolver?id=1844805646
1845123735; kolonialismus; Von Tripolis nach Alexandrien : Beschreibung der im Auftrage Sr. Majest\xef\xbf\xbdt des K\xef\xbf\xbdnigs von Preussen in den Jahren 1868 und 1869 ausgef\xef\xbf\xbdhrten Reise; Rohlfs, Gerhard; Kolonialismus; Fischer; 1885; https://www.digishelf.de/piresolver?id=1845123735
1844806650; kolonialismus; Entdeckungen in dem n\xef\xbf\xbdrdlichen und dem mittleren Africa; Denham, Dixon; Kolonialismus; Bran; 1826; https://www.digishelf.de/piresolver?id=1844806650
1845124995; kolonialismus; Die Atlasl\xef\xbf\xbdnder; Banse, Ewald; Kolonialismus; Teubner; 1910; https://www.digishelf.de/piresolver?id=1845124995
1844807037; kolonialismus; Afrikanisches Liederbuch; Engel, Ernst; Kolonialismus; Clauss; 1919; https://www.digishelf.de/piresolver?id=1844807037
1844807878; kolonialismus; Die Geheimnisse der Nami; none; Kolonialismus; Safari-Verlag; 1921; https://www.digishelf.de/piresolver?id=1844807878
1844808122; kolonialismus; Im Lande der Leoparden; Heimanns, Heinrich; Kolonialismus; Xaverius Verlagsbuchhandlg; 1925; https://www.digishelf.de/piresolver?id=1844808122
1844808343; kolonialismus; Schreckenstage in Kumase; Steiner, Paul; Kolonialismus; Verl. d. Missionsbuchh.; 1901; https://www.digishelf.de/piresolver?id=1844808343
1844808459; kolonialismus; Mein erster Weg zum Kongo; Stanley, Henry Morton; Kolonialismus; Brockhaus; 1922; https://www.digishelf.de/piresolver?id=1844808459
1844808769; kolonialismus; Unter Zwergen und Gorillas; none; Kolonialismus; Brockhaus; 1925; https://www.digishelf.de/piresolver?id=1844808769
1844808904; kolonialismus; Ruanda; Johanssen, Ernst; Kolonialismus; Verlagshandl. der Anstalt Bethel; 1912; https://www.digishelf.de/piresolver?id=1844808904
1844809471; kolonialismus; Die Farm im Steppenlande; Aschenborn, Hans Anton; Kolonialismus; Neumann; 1925; https://www.digishelf.de/piresolver?id=1844809471
1844809714; kolonialismus; Erlebnisse und Abenteuer eines Deutschen bei der franz\xef\xbf\xbdsischen Fremdenlegion in Afrika <1856 bis 1958>; none; Kolonialismus; Kollmann; 1859; https://www.digishelf.de/piresolver?id=1844809714
1844809897; kolonialismus; Achtzehn Jahre Farmer in Afrika; none; Kolonialismus; List; 1925; https://www.digishelf.de/piresolver?id=1844809897
1844810097; kolonialismus; Vom Kap zum Nil; Dove, Karl; Kolonialismus; Allg. Verein f\xef\xbf\xbdr Dt. Literatur; 1898; https://www.digishelf.de/piresolver?id=1844810097
1845126319; kolonialismus; Die Erwerber der deutschen Kolonien; Opitz, Walter; Kolonialismus; Brandstetter; 1909; https://www.digishelf.de/piresolver?id=1845126319
184481078X; kolonialismus; Dr. [Doktor] Ludwig Krapf, weil. Missionar in Ostafrika; Claus, Wilhelm; Kolonialismus; Spittler; 1882; https://www.digishelf.de/piresolver?id=184481078X
1845127374; kolonialismus; Deutsche Colonialgeschichte; Koschitzky, Max; Kolonialismus; Baldamus; 1888; https://www.digishelf.de/piresolver?id=1845127374
1844811255; kolonialismus; Wie erschliessen wir unsere Kolonien?; Blum, Otto; Kolonialismus; Reimer; 1907; https://www.digishelf.de/piresolver?id=1844811255
184481100X; kolonialismus; Die staatsrechtliche Stellung der deutschen Schutzgebiete; Meyer, Georg; Kolonialismus; Duncker & Humblot; 1888; https://www.digishelf.de/piresolver?id=184481100X
1844810925; kolonialismus; Bismarcks Kolonialpolitik; Hagen, Maximilian; Kolonialismus; Perthes; 1923; https://www.digishelf.de/piresolver?id=1844810925
1845137930; kolonialismus; Deutsche Kolonialreform; Walz-Eidenbenz, Fritz; Kolonialismus; Z\xef\xbf\xbdrcher & Furrer; 1905; https://www.digishelf.de/piresolver?id=1845137930
184480917X; kolonialismus; Bev\xef\xbf\xbdlkerung und Aufenthaltsrecht in den deutschen Schutzgebieten Afrikas; L\xef\xbf\xbdcke, Joachim Heinrich; Kolonialismus; Friederichsen; 1913; https://www.digishelf.de/piresolver?id=184480917X
1844809358; kolonialismus; Um Afrika; Joest, Wilhelm; Kolonialismus; Dumont-Schauberg; 1885; https://www.digishelf.de/piresolver?id=1844809358
1845127552; kolonialismus; Deutsche Colonialgeschichte; Koschitzky, Max; Kolonialismus; Baldamus; 1888; https://www.digishelf.de/piresolver?id=1845127552
