PPN; Jahr; Titel; Publisher
PPN1807251012; 1668; Mā lā yasaʿ aṭ-ṭabīb ǧahluh; none
PPN1809088518; 1500; Evangelium mit Parallelstellen; none
PPN1809095905; 1718; Maštoc̕; none
PPN1809161762; 1481; Syrische Sammelhandschrift; none
PPN1809419425; 1900; [符錄書]; none
PPN1809662915; 1601; Evangelium; none
PPN1809670616; 1600; Armenische Sammelhandschrift; none
PPN1810122643; 1500; Hymnarium; none
PPN181017824X; 1800; [Sammelhandschrift]; none
PPN1810703425; 1785; Sīrat ʿUmar Ibn-an-Nuʿmān wa-aulādihī Šarrkān wa-Ḍau 'l-Makān; none
PPN181070393X; 1785; Sīrat ʿUmar Ibn-an-Nuʿmān wa-aulādihī Šarrkān wa-Ḍau 'l-Makān; none
PPN1810704448; 1785; Sīrat ʿUmar Ibn-an-Nuʿmān wa-aulādihī Šarrkān wa-Ḍau 'l-Makān; none
PPN1810705002; 1785; Sīrat ʿUmar Ibn-an-Nuʿmān wa-aulādihī Šarrkān wa-Ḍau 'l-Makān; none
PPN1810705894; 1785; Sīrat Ḥamza Aqrān; Band 1; none
PPN181072113X; 1200; Hebräisches Einbandfragment; none
PPN1810814030; 1324; Arabische Sammelhandschrift; none
PPN1810817943; 1785; Sīrat Ḥamza Aqrān; Band 2; none
PPN1810818419; 1785; Sīrat Ḥamza Aqrān; Band 3; none
PPN1810819490; 1785; Sīrat Ḥamza Aqrān; Band 4; none
PPN1810819938; 1785; Sīrat Ḥamza Aqrān; Band 5; none
PPN1810820383; 1785; Sīrat Ḥamza Aqrān; Band 6; none
PPN1810820898; 1785; Sīrat Ḥamza Aqrān; Band 7; none
PPN1810821428; 1785; Sīrat Ḥamza Aqrān; Band 8; none
PPN1810841631; 1925; Inkishafi; none
PPN1810989299; 1614; Armenische Sammelhandschrift; none
PPN1811038336; 1898; Eusebii chronicon armeniace; none
PPN1813387818; 1785; Ġazwat as-sabʿ ḥuṣūn [1]; none
PPN1813388199; 1741; Ġazwat as-sabʿ ḥuṣūn [2]; none
PPN1813388466; 1764; Qiṣṣat al-Haifā maʿa Yūsuf al-Ḥasan; none
PPN1813388822; 1500; Arabische Sammelhandschrift; none
PPN1813389853; 1785; Qiṣṣat Nabī Allāh Bulūqīyā wa-Dāniyāl wa-Ǧāmās; none
PPN1813390215; 1785; Qiṣṣat Ḥasan aṣ-Ṣāʾiġ wa-mā ğarrā lahū maʿa al-ʿağamī; none
PPN1813766657; 1814; Šarḥ Lumaʿ al-yasīra fī ʿilm al-ḥisāb Sharḥ Lumaʿ al-yasīra fī ʿilm al-ḥisāb; none
PPN1813964963; 1688; Muṯīr al-ġarām ilā ziyārat al-Quds wa-'š-Šām; none
PPN1813965390; 1591; Kitāb Bāʿiṯ an-nufūs ilā ziyārat al-Quds al-maḥrūs; none
PPN1813965757; 1737; Kitāb Bāʿiṯ an-nufūs ilā ziyārat al-Quds al-maḥrūs; none
PPN1814171932; 1400; Arabische Sammelhandschrift; none
PPN1814243895; 1300; Arabische Sammelhandschrift; none
PPN1814294074; 1591; Zahr al-kimām fī qiṣṣat Yūsuf ʿalaihi as-salām; none
PPN1814294910; 1591; Zahr al-kimām fī qiṣṣat Yūsuf ʿalaihi as-salām; none
PPN1814295216; 1651; Arabische Sammelhandschrift; none
PPN1814299114; 1785; Qiṣṣat Yūsuf; none
PPN181430004X; 1700; Arabische Sammelhandschrift; none
PPN1814300880; 1737; Arabische Sammelhandschrift; none
PPN1814314741; 1592; Arabische Sammelhandschrift; none
PPN1814405410; 1777; Äthiopische Sammelhandschrift; none
PPN1814411682; 1000; Arabische Sammelhandschrift; none
PPN1814740562; 1700; Arabische Sammelhandschrift; none
PPN1814742387; 1841; Ġazwat al-ʿAǧǧāǧ; none
PPN1814743057; 1842; Ġazwat al-Malik al-ʿAnkabūt; none
PPN1814889639; 1785; Qiṣṣat Nabī Allāh Bulūqīyā wa-Dāniyāl wa-Ǧāmās; none
PPN1814890262; 1700; Arabische Sammelhandschrift; none
PPN1814890831; 1779; Ġazwat al-Faraǧmaḥal; none
PPN1814892192; 1828; Arabische Sammelhandschrift; none
PPN1815261951; 1785; Kifāyat an-naḥw fī ʿilm al- iʿrāb; none
PPN1815262095; 1800; Persische Sammelhandschrift; none
PPN1815273267; 1800; Persische Sammelhandschrift; none
PPN1815302364; 1500; Persische Sammelhandschrift; none
PPN1815305118; 1600; Sammelhandschrift; none
PPN1815447095; 1700; Sammelhandschrift; none
PPN1815455098; 1688; Arabische Sammmelhandschrift; none
PPN1815455713; 1684; Arabische Sammelhandschrift; none
PPN1815457724; 1688; ar- Rauḍa al-adabīya fī šawāhid ʿulūm al-ʿarabīya; none
PPN1815458216; 1737; Tartīb ǧamīl fī šarḥ at-Tarkīb al-ǧalīl; none
PPN1815987715; 1727; al- Maʿānī al-murḍiya ʿala 'š-Šamʿa al-muḍīya fī ʿilm al-ʿarabīya; none
PPN1815988177; 1640; Šarḥ kullīyāt al-Qānūn fi 'ṭ-ṭibb; none
PPN1815989238; 1751; al-Qaul as-sadīd fi ittiṣāl al-asnānīd; none
PPN1815990007; 1717; Tuḥfat aṯ-ṯiqāt bi-asānīd mā li-ʿUmar aš-šammāʿ min al-masmūʿāt; none
PPN1815990929; 1397; Lawāʾiḥ al-anwār fi 'r-radd ʿalā man ankara ʿala 'l-ʿārifīn laṭāʾif al-asrār; none
PPN1816331120; 1400; Arabische Sammelhandschrift; none
PPN1816376124; 1600; Arabische Sammelhandschrift; none
PPN1816379433; 1620; Šarḥ al-Asbāb wa-'l-ʿalāmāt fi 'ṭ-ṭibb; none
PPN1816379514; 1801; Muḫtaṣar al-Itqān; none
PPN1816417769; 1736; Arabische Sammelhandschrift; none
PPN1816420654; 1700; Arabische Sammelhandschrift; none
PPN1816423467; 1688; Arabische Sammelhandschrift; none
PPN1816663875; 1757; Evangelium-Kommentar und Predigten; none
PPN181725569X; 1700; Arabische Sammelhandschrift; none
PPN1817256432; 1500; Arabische Sammelhandschrift; none
PPN1817258168; 1688; Muḫtaṣar min kitāb aṭ-ṭibb an-nabawī; none
PPN181725863X; 1391; Muḫtaṣar min kitāb aṭ-ṭibb an-nabawī; none
PPN181726009X; 1640; Arabische Sammelhandschrift; none
PPN1817267787; 1785; Ġazwat Raʾs al-Ġūl; none
PPN1817269135; 1700; Arabische Sammelhandschrift; none
PPN1817271423; 1834; Sīrat Banī Hilāl; Band 1; none
PPN1817271865; 1834; Sīrat Banī Hilāl; Band 2; none
PPN1817272659; 1834; Sīrat Banī Hilāl; Band 3; none
PPN1817273329; 1785; Sīrat Banī Hilāl; Band 4; none
PPN1817274015; 1785; Sīrat Banī Hilāl; Band 5; none
PPN1817274961; 1785; Sīrat Banī Hilāl; Band 6/7; none
PPN1817282050; 1844; Sīrat Banī Hilāl; Band 8; none
PPN1817282395; 1785; Sīrat Banī Hilāl; Band 9; none
PPN1817319159; 1785; Arabische Sammelhandschrift; none
PPN1817320564; 1688; Muḫtār aṣ-Ṣiḥāḥ; none
PPN1817320858; 1790; Lubāb at-taǧwīd li-'l-Qurʾān al-maǧīd; none
PPN1817321293; 1477; al- Ǧāmiʿ al-mufīd fī ṣināʿat at-taǧwīd; none
PPN1817381520; 1688; Ġirās al-Asās; none
PPN1817381857; 1281; Arabische Sammelhandschrift; none
PPN181738306X; 1729; al- Ḥibāla; none
PPN1817782002; 1845; Sīrat Banī Hilāl; none
PPN1817782312; 1844; Sīrat Banī Hilāl; none
PPN1817782622; 1844; Sīrat Banī Hilāl; none
PPN1817782975; 1844; Sīrat Banī Hilāl; none
PPN1817784277; 1844; Sīrat Banī Hilāl; none
PPN1817784765; 1824; Sīrat Banī Hilāl; none
PPN1817785451; 1834; Sīrat Banī Hilāl; none
PPN1817785826; 1844; Sīrat Banī Hilāl; none
PPN1817786652; 1844; Sīrat Banī Hilāl; none
PPN1817787101; 1844; Sīrat Banī Hilāl; none
PPN1817881353; 1786; al- Ǧauhar an-naḍīr fī iḫrāǧ aḍ-ḍamīr; none
PPN1818105144; 1737; Arabische Sammelhandschrift; none
PPN1818106620; 1753; al- Wāfī fī šarḥ al-Kāfī; none
PPN1818107090; 1840; Nuzhat al-aṣḥāb fī muʿāšarat al-aḥbāb; none
PPN1818107465; 1348; Ifṣāḥ al-ʿarūḍ wa-īḍāḥ al-ġumūḍ; none
PPN1818127229; 1700; Persische Sammelhandschrift; none
PPN1818276968; 1900; 雜醫方集; none
PPN1818350548; 1685; Durrat al-ḫawāṣṣ fī šarḥ Urǧūzat al-iḫtiṣāṣ; none
PPN1818351080; 1737; al- Maǧālis al-waʿẓīya fī šarḥ aḥādīṯ ḫair al-barīya; none
PPN1818351501; 1665; Maǧālis al-mawāʿiẓ fi 'l-ḥadīṯ; none
PPN1818351854; 1592; Šarḥ al-Maṣābīḥ; none
PPN1818991977; 1600; Arabische Sammelhandschrift; none
PPN1818996014; 1397; Sirr al-faṣāḥa; none
PPN1818997851; 1700; Arabische Sammelhandschrift; none
PPN1819003280; 1494; Kitāb al-Badīʿ fi 'l-badīʿ; none
PPN1819003620; 1742; Rašf an-nabīh min ṯaġr at-tašbīh; none
PPN1819040356; 1875; Nūr al-īḍāḥ wa-naǧāt al-arwāḥ; none
PPN1819765156; 1845; Sīrat Banī Hilāl; none
PPN1819766535; 1845; Sīrat Banī Hilāl; none
PPN1819767167; 1844; Sīrat Banī Hilāl; none
PPN1819768252; 1844; Sīrat Banī Hilāl; none
PPN1819769453; 1844; Sīrat Banī Hilāl; none
PPN1819771849; 1844; Sīrat Banī Hilāl; none
PPN1819788768; 1844; Sīrat Banī Hilāl; none
PPN1819813304; 1824; Sīrat Banī Hilāl; none
PPN1819814718; 1200; Arabische Sammelhandschrift; none
PPN1819825922; 1200; Arabische Sammelhandschrift; none
PPN1819865681; 1737; Arabische Sammelhandschrift; none
PPN1820007545; 1707; Arabische Sammelhandschrift; none
PPN1820238458; 1256; Miftāḥ al-abwāb fī šarḥ ġawāmiḍ al-Kitāb; none
PPN1820404471; 1600; Arabische Sammelhandschrift; none
PPN1820406016; 1700; Sammelhandschrift; none
PPN1820801047; 1100; Sammelhandschrift; none
PPN1821148592; 1844; Sīrat Banī Hilāl; none
PPN1821149319; 1846; Sīrat Banī Hilāl; none
PPN1821153650; 1846; Sīrat Banī Hilāl; none
PPN1821154290; 1845; Sīrat Banī Hilāl; none
PPN1821154614; 1800; Arabische Sammelhandschrift; none
PPN1821155343; 1824; Sīrat Banī Hilāl; none
PPN1822826152; 1203; Koran; none
PPN1822879663; 1355; Fi 'l-ʿIlm bi-'l-farūsīya; none
PPN1823057993; 1612; Dīwān; none
PPN182446195X; 1470; Ǧāmiʿ mufradāt al-adwiya wa-'l-aġḏiya; none
PPN182454281X; 1845; Sīrat Banī Hilāl; none
PPN1826435115; 1795; Arabische Sammelhandschrift; none
PPN1826462821; 1844; Sīrat Banī Hilāl; none
PPN1826463267; 1844; Sīrat Banī Hilāl; none
PPN1826778098; 1599; Terǧeme-i Ševāhidü'n-nübüvve; none
PPN1827904518; 1800; Arabische Sammelhandschrift; none
PPN1830309587; 1805; Arabische Sammelhandschrift; none
PPN1830593501; 1846; Arabische Sammelhandschrift; none
PPN1830822608; 1700; [朝鮮古地圖]; none
PPN1831092166; 1786; Persische Sammelhandschrift; none
PPN1831174081; 1300; Arabische Sammelhandschrift; none
PPN1831333325; 1334; Arabische Sammelhandschrift; none
PPN1832806766; 1737; Ḥikāyat al-Malik Āzād Baḫt wa-ibnuhu wa-l-wuzarāʾ al-ʿašara; none
PPN1832908739; 0800; Neues Testament nach der Pešiṭta; none
PPN183293070X; 1600; Psalmi; none
PPN183293408X; 0700; Neues Testament nach der Pešiṭta; none
PPN1832938301; 1800; Sentenzensammlung; none
PPN183303578X; 1845; Arabische Sammelhandschrift; none
PPN1833036956; 1845; Sīrat Banī Hilāl; none
PPN183303743X; 1844; Sīrat Banī Hilāl; none
PPN1833038029; 1845; Sīrat Banī Hilāl; none
PPN1833038487; 1844; Sīrat Banī Hilāl; none
PPN183303905X; 1800; Arabische Sammelhandschrift; none
PPN1833040953; 1845; Sīrat Banī Hilāl; none
PPN1833042980; 1845; Sīrat Banī Hilāl; none
PPN183304388X; 1845; Sīrat Banī Hilāl; none
PPN1833377788; 1821; Persische Sammelhandschrift; none
PPN1834099978; 1785; Sīrat Banī Hilāl; none
PPN1834102367; 1845; Sīrat Banī Hilāl; none
PPN1834102766; 1845; Sīrat Banī Hilāl; none
PPN1834103126; 1800; Arabische Sammelhandschrift; none
PPN1834147719; 1468; Arabische Sammelhandschrift; none
PPN1834615852; 1494; Koran; none
PPN1834617839; 1800; Koran; none
PPN1834939976; 1800; Koran; none
PPN1835665268; 1600; Aḥwāl-i qiyāmat; none
PPN1838714529; 1300; Tahḏīb al-aǧwiba; none
PPN1839588497; 1270; Kitāb Maʿānī asrār al-ḥurūf; none
PPN1839636017; 1591; Arabische Sammelhandschrift; none
PPN1839642815; 1600; Arabische Sammelhandschrift; none
PPN1839681144; 1924; 嘗草軒醫案流水賬; none
PPN1839765747; 1500; Arabische Sammelhandschrift; none
PPN1839778334; 1735; Syrische Sammelhandschrift; none
PPN1839796138; 0900; Chronik von Arbela; none
PPN1840304782; 1800; Buyav u surqal; none
PPN1840307625; 1700; Lehrworte des rJ̌e bcun dam pa Khutukhtu; none
PPN1840311053; 1800; Lehrworte des rJ̌e bcun dam pa Khutukhtu; none
PPN1840312351; 1500; Liber grammatices; none
PPN1840312556; 1800; Erlasse der Republikanischen Regierung über Demissionierung und Ernennung von Beamten; none
PPN1840315369; 1400; Hymnarium; none
PPN1840322799; 1600; Hymnarium : Februar; none
PPN1840329912; 0700; Evangelienharmonie [Fragment]; none
PPN1840333626; 1200; Pentateuch nach der Pešiṭtâ; none
PPN1840442492; 1700; Arabische Sammelhandschrift; none
PPN1840924594; 1400; Sammlung Syrischer Gesänge : Oktober [Fragment]; none
PPN1840933747; 1500; Hymnarium : Juni; none
PPN1840951818; 1400; Sammlung Syrischer Gesänge : November [Fragment]; none
PPN1841206008; 1100; Sammelhandschrift; none
PPN1842530372; 1800; 赤穂義士傳; none
PPN1842695533; 1700; 不動明王像絵巻 (仮題); none
PPN1843492849; 1700; Arabische Sammelhandschrift; none
PPN1846004500; 1600; Arabische Sammelhandschrift; none
PPN1848507585; 1800; al- Qurʾān; none
PPN1848815697; 1779; al- Luʾluʾ al-manṯūr wa-farḥat al-qulūb wa-'ṣ-ṣudūr; none
PPN1852455020; 1400; Arabische Sammelhandschrift; none
PPN1852675284; 1700; Arabische Sammelhandschrift; none
PPN1852678291; 1400; Arabische Sammelhandschrift; none
PPN1852680342; 1543; Arabische Sammelhandschrift; none
PPN3308101254; 15XX; [犬筑波集]; none
PPN3346158535; 17XX; [中仙道]; none
PPN3346229297; 17XX; 細川家軍船図巻 (仮題); none
PPN3346229319; 18XX; 甲冑図巻 (仮題); none
PPN3346229327; 1778; 紀伊國熊野鯨数品正冩之圖; none
PPN3346229335; 18XX; 萬國旗章圖譜; none
PPN3346229556; 18XX; 材木伐採図絵 (仮題); none
PPN3346229602; 18XX; 中御前速霊宮 (仮題); none
PPN335870842X; 1857; 救生觀世音經 1卷; none
PPN3358708446; 1800; 治瘧疾病神法; none
PPN3358708632; 1800; 各省山名; none
PPN3358708640; 1800; 增訂精忠演義說本全傳 [20卷 80回] (存40回); none
PPN3358708748; 1800; 亭會 1卷; none
PPN3358708756; 1800; 梳粧擲戟; 總本; none
PPN3358708764; 1800; 梳粧跪池; 陳慥; none
PPN3358708780; 1875; 上收金銀賬; none
PPN3358708799; 1800; 醫方捷徑指南全書 2卷; none
PPN3358708802; 1800; 桑蠶提要 2卷; none
PPN3358708810; 1673; 籖薄 1卷; none
PPN3358710467; 1899; 欽定大清會典事例 卷8 至 卷25, 卷27, 28, 30, 卷32 至 卷41; none
PPN3358710491; 1899; 欽定大清會典事例 卷65, 66, 69, 卷71 至 卷88; none
PPN3358710505; 1899; 欽定大清會典事例 卷89 至 卷112; none
PPN3358710513; 1899; 欽定大清會典事例 卷113 至 卷136; none
PPN3358710521; 1899; 欽定大清會典事例 卷137 至 卷158; none
PPN335871053X; 1899; 欽定大清會典事例 卷159 至 卷172, 卷182 至 卷187; none
PPN3358710548; 1899; 欽定大清會典事例 卷195 至 卷218; none
PPN3358710564; 1899; 欽定大清會典事例 卷221, 224, 226, 229, 231, 233, 236, 237, 240, 241, 卷243 至 卷260; none
PPN3358710580; 1899; 欽定大清會典事例 卷261 至 卷283; none
PPN3358710645; 1899; 欽定大清會典事例 卷288, 卷290 至 卷296, 卷304, 307, 308, 卷312 至 卷320; none
PPN3358710653; 1899; 欽定大清會典事例 卷328 至 卷350; none
PPN335871070X; 1899; 欽定大清會典事例 卷351 至 卷378; none
PPN3358710718; 1899; 欽定大清會典事例 卷379 至 卷400; none
PPN3358710726; 1899; 欽定大清會典事例 卷401 至 卷423; none
PPN3371340627; 1664; 大秦景教流行中國碑; none
PPN3371340635; 1600; Žeo pu tuwan i bithe 15卷 (存卷1至卷7，卷11至卷15); none
PPN3371386740; 1800; སེང་གདོང་མའི་སྒྲུབ་ཐབས་; none
PPN3371387534; 1800; ཚེ་དཔག་མེད་ཀྱི་སྒོ་ནས་ཚེ་སྒྲུབས་རིལ་སྒྲུབས་; none
PPN3371387542; 1800; དཔལ་གཤིན་རྗེ་གཤེད་ཀྱི་སྒོ་ནས་གཤིན་པོའི་ཕུང་པོ་སྲེག་སྦྱང་བྱ་ཚུལ་ནག་ཁྲོད་སུ་བཀོད་པ་; none
PPN3371387550; 1800; དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་བསྐྱེད་རིམ་དངོས་གྲུབ་ཀྱི་སྙེ་མ་; none
PPN3371387569; 1800; སྐུ་ལྔ་པ་ཆེན་པོས་མཛད་པའི་ཞིང་ཆེན་བཅུ་གསུམ་གྱི་བསངས་མཆོད་དངོས་གྲུབ་ཆར་འབེབས་; none
PPN3371387577; 1800; Tibetische Handschrift ohne Titel; none
PPN3371387585; 1800; ཁྲོ་རྒྱལ་རྟ་མཆོག་རོལ་པ་གསང་སྒྲུབ་ཀྱི་གཏོར་ཟློག་བགེགས་དཔུང་མཐར་བྱེད་; none
PPN3371387593; 1800; ཆོས་སྐྱོང་གཏོར་འབུལ་དང་གཞི་བདག་གཏོར་མ་; none
PPN3371387607; 1800; Tibetische Handschrift ohne Titel; none
PPN3371387615; 1800; Tibetische Handschrift ohne Titel; none
PPN3371387623; 1800; མཆོད་ཕྲེང་; none
PPN3371387631; 1800; ཁྲོ་རྒྱལ་རྟ་མཆོག་རོལ་པ་གསང་སྒྲུབ་ཀྱི་གཏོར་ཟློག་བགེགས་དཔུང་མཐར་བྱེད་; none
PPN337138764X; 1800; དགྲ་ལྷའི་དཔངས་བསྟོད་མ་; none
PPN3371387658; 1800; བདེ་མཆོག་དྲིལ་བུ་པའི་ལུས་དཀྱིལ་དུ་དབང་བསྐུར་བའི་ཆོ་ག་; none
PPN3371387666; 1800; སེང་གེའི་སྒྲ་དང་ཕྱག་རྡོར་ལ་བརྟེན་པའི་གདོན་འགྲོལ་བྱེད་ཚུལ་གདུང་སེལ་ནོར་བུའི་འཕྲད་པ་; none
PPN3371387704; 1800; བཀའ་འགྱུར་ནོམ་མིན་ཧན་གྱི་སྤྲུལ་སྐུའི་ཞབས་བརྟན་གསོལ་འདེབས་; none
PPN3371387720; 1800; དཔལ་འཁོར་ལོ་སྡོམ་པའི་ལྷ་ཚོགས་ལ་བསྟོད་པའི་རབ་བྱེད་དཔའ་བོ་དགྱེས་པ་བསྐྱེད་བྱེད་བདེ་བ་ཆེན་པོའི་གླུ་དབྱངས་; none
PPN3371387739; 1800; གཙུག་ཏོར་གཏོར་བཟློག་གི་བཅའ་གཞི་ཆོ་གའི་གོ་རིམ་བཅས་; none
PPN3371387747; 1800; རྒྱལ་ཡུམ་སྒྲོལ་དཀར་ཡིད་བཞིན་འཁོར་ལོ་ལ་བསྟོད་པ་ཚེ་ཡི་དངོས་གྲུབ་འགུགས་པའི་ལྕགས་ཀྱུ་; none
PPN3371387755; 1800; དཔལ་འཁོར་ལོ་བདེ་མཆོགས་གི་བུམ་བསྐྱེད་དང་མཏུན་བསྐྱེད་བཅས་ངག་འདོན་ཁྲིགས་ཆགས་སུ་བསྒྲིགས་པ་; none
PPN3371387763; 1800; ཕ་དམ་པ་རྒྱ་གར་བའི་མཛད་པའི་གླུད་གཏོར་གཏོང་ལུགས་; none
PPN3371387771; 1800; བདེ་མཆོག་འབུམ་སྐྱེད་; none
PPN337138778X; 1800; འཕགས་མ་གཙུག་ཏོར་དཀར་མོས་བཟློག་བསྒྱུར་མི་མཐུན་གཡུལ་ལས་རྣམ་པར་རྒྱལ་བ་; none
PPN3371387798; 1800; བླ་མའི་རྣལ་འབྱོར་བསྒོམ་ཚུལ་; none
PPN3371387801; 1800; ཞབས་བརྟན་གསོལ་འདེབས་དད་པའི་སྒོ་འབྱེད་; none
PPN337138781X; 1800; སྐྱབས་མགོན་རྗེ་བཙུན་དམ་པའི་ཞབས་བརྟན་གསོལ་འདེབས་; none
PPN3371387828; 1800; སྐྱབས་རྗེ་ལྕང་སྐྱ་རིན་པོ་ཆེའི་མྱུར་བྱོན་གསོལ་འདེབས་བསམ་དོན་མྱུར་འགྲུབ་མ་; none
PPN3371388190; 1843; Chinesisch-mandschurische Akten (Konvolut); none
PPN3371388204; 1843; Chinesisch-mandschurische Akten (Konvolut); none
PPN3371388603; 1800; མ་མོའི་མདོས་གླུད་གཏོང་གླེགས་པ་རྒྱལ་དབང་མཆོག་གིས་མཛད་པ; none
PPN337138862X; 1800; འཇམ་དཔལ་ནག་པོའི་ཁྲོ་བོའི་མངོན་རྟོགས; none
PPN3371388646; 1800; འཕགས་པ་གཞང་འབྲུམ་རབ་ཏུ་ཞི་བར་བྱེད་པའི་མདོ; none
PPN3371388662; 1800; སེམས་བསྐྱེད་མཆོད་པའི་ཆོག་བསྒྲིགས་བསྡུས་བྱ་ཚུལ; none
PPN3371388689; 1800; ལྕང་སྐྱ་རྡོ་རྗེ་འཆང་ཆེན་པོའི་མཆོག་གི་སྤྲུལ་སྐུའི་ཞབས་བརྟན་བདེན་ཚིག་དངོས་གྲུབ་འདོད་པ་འཇོ་བའི་བུམ་བཟང་; none
PPN3371388735; 1800; 龍圖公案 卷24 至 285; none
PPN3371388743; 1800; 龍圖公案 卷290 至 320; none
PPN3371388751; 1899; 欽定大清會典事例 卷424 至 卷447; none
PPN337138876X; 1899; 欽定大清會典事例 卷448 至 卷464, 卷474 至 卷481; none
PPN3371388794; 1800; Chinesisch-mandschurische Akten (Konvolut); none
PPN3371388824; 1800; Chinesisch-mandschurische Akten (Konvolut); none
PPN3371388832; 1800; Chinesisch-mandschurische Akten (Konvolut); none
PPN3371388840; 1800; Chinesisch-mandschurische Akten (Konvolut); none
PPN3371388859; 1800; Chinesisch-mandschurische Akten (Konvolut); none
PPN3371388867; 1800; Chinesisch-mandschurische Akten (Konvolut); none
PPN3371388875; 1843; Chinesisch-mandschurische Akten (Konvolut); none
PPN337138893X; 1800; Chinesisch-mandschurische Akten (Konvolut); none
PPN3371388948; 1843; Chinesisch-mandschurische Akten (Konvolut); none
PPN3371389030; 1800; སྐྱབས་རྗེ་དམ་པ་ལྕང་སྐྱ་མཆོག་སྤྲུལ་རིན་པོ་ཆེའི་ཞབས་བརྟན་གསོལ་འདེབས་; none
PPN3371389073; 1800; སྐྱེས་བུ་གསུམ་གྱིས་ལམ་རིམ་གྱི་མགུར; none
PPN3371389111; 1800; གསོལ་འདེབས་བར་ཆད་ལམ་སེལ; none
PPN3371389138; 1800; Tibetische Handschrift ohne Titel; none
PPN3371389154; 1800; དཔེ་རིས; none
PPN3371389200; 1800; དཔལ་གསང་བ་འདུས་པའི་རྩ་བའི་རྒྱུད་སྤྱི་ལུང་གི་བརྒྱུད་རིམ་གསོལ་འདེབས; none
PPN3371389227; 1800; མགོན་པོ་ཚེ་དཔག་མེད་ཀྱི་སྒྲུབ་ཐབས་ཚེ་འགུགས་འཆི་མེད་བདེན་མཆོག་རྩལ་གྱི་བདུད་རྩིའི་བུམ་བཟང; none
PPN337138926X; 1800; དུས་མཆོད་བརྒྱད་དུས་བཟང་བཅུ་དུས་ཧྲིལ་པོ་གསུམ་དང་ཉེར་མཁོ་འགའ་ཞིག་གི; none
PPN3371389286; 1800; དགའ་ལྡན་ཕྱག་རྒྱ་ཆེན་པོའི་སྨོན་ཚིག་དངོས་གྲུབ་ཀུན་འབྱུང་; none
PPN3371390012; 1500; 安丘縣志 28卷; none
PPN3371390462; 1800; རྒྱལ་པོ་སྐུ་ལྔའི་གཏོར་འབུལ་ཆོས་སྐྱོང་མཉེས་པའི་གླུ་གར་དང་བཅས; none
PPN3371391523; 1800; 翻譯古文正宗; none
PPN3376909830; 1800; རྩིས་གསར་ལུགས་ཀྱི་གྲུབ་མཐའི་ལྔ་བསྡུས་སོགས་ཞག་གསུམ་གཟའ་ལྔའི་རྩིས་འཕྲོ་རབ་བྱུང་བཅོ་ལྔར་འཕྲོག་བཟོ་བའི་རི་མོ; none
PPN3376910529; 1700; 神光經識; none
PPN3376910537; 1700; 般若波羅密多心經; none
PPN3376910545; 1700; 大藏瑜伽施食儀; none
PPN3376910960; 1800; Vulaqhav guidulburi; none
PPN3376911029; 1800; Vilazu tagus nuigcigsav cuqdu wcir vayuqhuluqci jiv tuirbav yuigazari jiv guidulburi civdamani shadu naradu tagusgagu jargae; none
PPN3376911037; 1800; Vaqe taguu tuluqhav sajibar vuduqsav u tagil uv vujilatburi najiraqhuluqsav civdamani jiv argadu jiv qaqhav; none
PPN3376911045; 1800; [Ohne Titel]; none
PPN3376911053; 1800; [Ohne Titel]; none
PPN3376911061; 1800; Savsḡritj jiv vayalqu bar vuvgsiqui varqe jiv quriyavgqui; none
PPN3376911088; 1800; Qara galav sudur; none
PPN3376911096; 1800; [Ohne Titel]; none
PPN337691110X; 1800; [Ohne Titel]; none
PPN3376911118; 1800; [Ohne Titel]; none
PPN3376911126; 1800; [Ohne Titel]; none
PPN3376911169; 1899; 欽定大清會典事例 卷482 至 卷504; none
PPN3376911177; 1899; 欽定大清會典事例 卷505 至 卷532; none
PPN3376911185; 1899; 欽定大清會典事例 卷533 至 卷557; none
PPN3376911193; 1899; 欽定大清會典事例 卷558 至 卷581; none
PPN3376911207; 1899; 欽定大清會典事例 卷584 至 卷605; none
PPN3376911215; 1899; 欽定大清會典事例 卷606 至 卷627; none
PPN3376911223; 1899; 欽定大清會典事例 卷628 至 卷653; none
PPN3376911231; 1899; 欽定大清會典事例 卷654 至 卷680; none
PPN337691124X; 1899; 欽定大清會典事例 卷681 至 卷705; none
PPN3376911258; 1899; 欽定大清會典事例 卷706 至 卷733; none
PPN3376911282; 1899; 欽定大清會典事例 卷734 至 卷764; none
PPN3376911290; 1899; 欽定大清會典事例 卷765 至 卷796; none
PPN3376911304; 1899; 欽定大清會典事例 卷797, 799, 800, 804, 806, 807 至 卷828; none
PPN3376911312; 1899; 欽定大清會典事例 卷829 至 卷849, 卷862, 863, 870, 872; none
PPN3376911320; 1899; 欽定大清會典事例 卷873 至 卷905; none
PPN3376911339; 1899; 欽定大清會典事例 卷906 至 卷928, 卷932-934, 938, 939; none
PPN3376911347; 1899; 欽定大清會典事例 卷940 至 卷962, 964, 967, 973, 974; none
PPN3376911355; 1899; 欽定大清會典事例 卷985, 988, 989, 991, 993-996, 998 至 卷1015; none
PPN3376911401; 1899; 欽定大清會典事例 卷1016 至 卷1043; none
PPN337691141X; 1899; 欽定大清會典事例 卷1044 至 卷1077; none
PPN3376911711; 1899; 欽定大清會典事例 卷1078 至 卷1110; none
