PPN; Jahr; Titel; Publisher
PPN1032797010; 1600; Hebräische Sammelhandschrift kabbalistischen Inhalts; none
PPN103281487X; 1600; Kommentar zu Genesis; none
PPN1034151932; 1700; al- Muqaddima al-Ǧazarīya fi 't-taǧwīd; none
PPN1034702491; 1555; Bābūs; none
PPN1034724185; 1678; Šarḥ Nuṣūṣ al-Qūnawī; none
PPN1035287293; 1700; Hebräische Sammelhandschrift; none
PPN1037617819; 1685; Pituḥe ḥotam; none
PPN1038150256; 1300; Alḥān as-sawāǧiʿ baina 'l-bādiʾ wa-'l-murāǧiʿ: ǧuzʾ 1; none
PPN1038156378; 1300; Alḥān as-sawāǧiʿ baina 'l-bādiʾ wa-'l-murāǧiʿ: ǧuzʾ 1; none
PPN1038668123; 1700; Kitāb Nūr al-muqal fī 'd-dakk wa-l-ḥiyal; none
PPN1039808301; 1700; Zivḥe tsedeḳ; none
PPN1039881025; 13XX; Sefer ha-Halakhot; none
PPN1039881890; 1300; Sefer ha-Halakhot; none
PPN1039882676; 1300; Sefer ha-Halakhot; none
PPN1040223443; 1591; Tarwīḥ al-arwāḥ li-taṣḥīḥ al-ašbāḥ; none
PPN1040231853; 1526; at-Taḏkira al-fāḫira fī fiqh al-ʿatira aṭ-ṭāhira; none
PPN1040397123; 1400; Perush : Kommentare über verschiedene Bücher der Hebräischen Bibel; none
PPN1040399207; 1700; Hebräische Sammelhandschrift : jemenitische Gebete; none
PPN1040407978; 1785; Arabische Sammelhandschrift; none
PPN1040415903; 1397; Rasāʾil Iḫwān aṣ-Ṣafā; none
PPN1040435351; 1688; Maʾāṯir al-abrār fī tafṣīl muğmalāt ğawāhir al-aḫbār wa-'l-lawāḥiq an-nadīya li-'l-ḥadāʾiq al-wardīya; none
PPN1040436099; 1688; Ḥāšiya li-'l-Bardaʿī ʿAlī Īsāġūǧī; none
PPN1040437060; 1640; Kitāb al-Ḥulal fī šarḥ abyāt al-ğumal; none
PPN1040448917; 1700; Hebräische Sammelhandschrift zu Wahrsagung und Astrologie; none
PPN1040550142; 1785; az-Zīrağa al-kubrā; none
PPN1040550495; 1300; Arabische Sammelhandschrift; none
PPN1040552293; 1780; Maḥzor : Gebetbuch nach dem Ritus von Avignon; none
PPN1040565441; 1400; Gebetbuch nach sefardischem Ritus : Fragment; none
PPN1040572936; 1700; Hebräische Briefe aus Marokko; none
PPN1040733964; 1600; Hebräische Sammelhandschrift kabbalistischer Werke; none
PPN1040756859; 1700; Diṿan : liturgische Gedichte nach dem Ritus von Aleppo; none
PPN1040761240; 1700; Diṿan : liturgische Gedichte nach dem Ritus von Aleppo; none
PPN1040761593; 1700; Diṿan : liturgische Gedichte nach dem Ritus von Aleppo; none
PPN1040966128; 1830; al-Mawāʿiẓ wa-l-iʿtibār fī ḏikr al-ḫiṭaṭ wa-l-aṯār; none
PPN1040966179; 1830; al-Mawāʿiẓ wa-l-iʿtibār fī ḏikr al-ḫiṭaṭ wa-l-aṯār; none
PPN1040966217; 1830; al-Mawāʿiẓ wa-l-iʿtibār fī ḏikr al-ḫiṭaṭ wa-l-aṯār; none
PPN1040966330; 1400; al-Mawāʿiẓ wa-l-iʿtibār fī ḏikr al-ḫiṭaṭ wa-l-aṯār; none
PPN1040966500; 1500; Arabische Sammelhandschrift; none
PPN1040970540; 1800; Monggo guisun i yooni bithe = Mongγol ügen ü tegün bičig; none
PPN1040970567; 1800; Tuwancihiyame dasaha Si siyang gi bithe = [西廂記]; none
PPN1040970591; 1723; Jalan sirara hafan i dangse; none
PPN1041052790; 1736; Ibṭāl šubah al-mutāwwalīn li-naṣṣ wilāyat Amīr al-muʾminīn; none
PPN1041111061; 1400; Megilat setarim; none
PPN1041213646; 1813; ʿUmdat al-kuttāb wa-ʿiddat ḏawī al-albāb; none
PPN1041234007; 1300; Sammelhandschrift; none
PPN1041280599; 1397; Kitāb as-Sawī wa-'l-manhal ar-rawā fī-ṭ-ṭibb an-nabawī; none
